Date,Temperature moyenne (°C),Precipitation (mm),Humidite moyenne (%)
2016-04-26,17.768835,0.0,72.505714
2016-04-27,17.06675,0.0,71.22973
2016-04-28,16.262583,0.0,72.39121
2016-04-29,17.095915,0.0,71.93527
2016-04-30,18.227167,0.0,70.09423
2016-05-01,20.545916,0.0,60.115704
2016-05-02,23.60425,0.0,42.66226
2016-05-03,22.33758,0.0,56.82694
2016-05-04,20.689665,1.7000002,68.46146
2016-05-05,18.870916,3.9999998,72.561226
2016-05-06,17.0605,1.0,71.387474
2016-05-07,16.800081,0.0,68.46961
2016-05-08,14.781331,14.400001,84.35253
2016-05-09,16.152166,8.3,73.538246
2016-05-10,14.804248,11.099999,78.33325
2016-05-11,15.047999,4.0999994,73.724495
2016-05-12,14.889664,1.2,76.00663
2016-05-13,14.864666,0.9000001,77.78411
2016-05-14,15.316749,0.0,74.35978
2016-05-15,16.08133,0.0,75.43882
2016-05-16,18.29175,0.0,74.141205
2016-05-17,19.077166,0.1,74.5991
2016-05-18,18.406334,0.0,76.421295
2016-05-19,19.300081,0.0,73.79331
2016-05-20,20.733414,0.0,67.78875
2016-05-21,21.562584,0.6,68.32525
2016-05-22,20.079248,0.0,74.15019
2016-05-23,23.027166,0.0,62.767986
2016-05-24,20.668833,0.0,71.1063
2016-05-25,18.910498,0.0,74.07391
2016-05-26,18.995916,0.0,69.88668
2016-05-27,18.808416,0.0,69.74813
2016-05-28,18.25633,0.0,71.78946
2016-05-29,18.050083,0.0,68.41825
2016-05-30,17.643831,0.0,67.87635
2016-05-31,18.937584,0.0,66.01822
2016-06-01,21.50425,0.0,58.442516
2016-06-02,20.964666,0.0,65.69958
2016-06-03,18.770914,0.0,72.2015
2016-06-04,18.777166,0.0,64.56472
2016-06-05,19.35008,0.0,73.99709
2016-06-06,20.845915,0.0,70.3883
2016-06-07,24.91675,0.0,60.259506
2016-06-08,27.237587,0.1,54.1459
2016-06-09,23.989664,0.0,64.895096
2016-06-10,21.164667,0.0,71.256325
2016-06-11,20.833418,0.0,68.66327
2016-06-12,21.01883,0.0,67.29592
2016-06-13,22.070915,0.0,70.731895
2016-06-14,21.662582,0.0,73.64956
2016-06-15,19.223001,1.1,78.29736
2016-06-16,17.927164,1.1,66.39858
2016-06-17,18.643833,0.0,68.19602
2016-06-18,20.431334,0.0,63.11617
2016-06-19,21.98133,0.0,60.04422
2016-06-20,24.312582,0.0,52.51692
2016-06-21,26.375082,0.0,44.331654
2016-06-22,26.200083,0.0,51.672726
2016-06-23,26.135496,0.0,57.655853
2016-06-24,24.779251,0.0,62.97362
2016-06-25,22.206335,0.0,73.211685
2016-06-26,20.393833,0.0,65.96229
2016-06-27,20.52925,0.2,69.23488
2016-06-28,22.716751,0.0,69.14057
2016-06-29,23.216751,0.0,72.4443
2016-06-30,23.0105,0.0,71.83208
2016-07-01,21.552168,3.3999999,76.015434
2016-07-02,21.854248,1.2,75.3126
2016-07-03,24.0355,0.0,69.30673
2016-07-04,23.391748,0.0,68.121086
2016-07-05,23.068832,0.0,74.33579
2016-07-06,22.325083,0.0,74.6596
2016-07-07,21.912584,2.0,75.00655
2016-07-08,23.550085,0.0,74.55686
2016-07-09,26.4105,0.0,64.16216
2016-07-10,26.477163,0.0,65.023674
2016-07-11,25.6605,0.0,69.28678
2016-07-12,24.57717,0.0,67.82034
2016-07-13,24.512583,0.0,62.18066
2016-07-14,25.97925,0.0,60.614834
2016-07-15,28.573,0.0,56.77426
2016-07-16,29.156336,0.0,57.203106
2016-07-17,28.052168,0.0,62.037617
2016-07-18,28.066744,0.0,67.029305
2016-07-19,32.81467,0.2,38.643593
2016-07-20,28.3105,0.0,61.570023
2016-07-21,26.579252,0.0,65.16734
2016-07-22,23.652168,0.0,70.15008
2016-07-23,24.452166,0.0,65.895935
2016-07-24,27.314667,0.0,60.418415
2016-07-25,30.704252,0.0,46.601864
2016-07-26,29.162582,0.0,52.46966
2016-07-27,24.668829,0.0,71.53298
2016-07-28,24.373,0.0,70.20171
2016-07-29,24.187582,0.0,72.62516
